TF	TG	cluster	borda_rank	borda_clusterRank	weight
BdiBd21-3.1G0039500	BdiBd21-3.1G0260200	Cluster_0	206	45	10.282932110458058
BdiBd21-3.1G0039500	BdiBd21-3.1G0161500	Cluster_0	206	45	4.9051310736657125
BdiBd21-3.1G0039500	BdiBd21-3.1G0170800	Cluster_0	206	45	3.512379780466202
BdiBd21-3.1G0039500	BdiBd21-3.1G0192300	Cluster_0	206	45	3.2007630179675446
BdiBd21-3.1G0039500	BdiBd21-3.1G0288100	Cluster_0	206	45	2.956309762723914
BdiBd21-3.1G0039500	BdiBd21-3.3G0179600	Cluster_0	206	45	2.798809468277871
BdiBd21-3.1G0039500	BdiBd21-3.2G0130700	Cluster_0	206	45	1.974979879068939
BdiBd21-3.1G0039500	BdiBd21-3.1G0220500	Cluster_0	206	45	1.780360272773174
BdiBd21-3.1G0039500	BdiBd21-3.3G0067800	Cluster_0	206	45	1.5469277729779902
BdiBd21-3.1G0039500	BdiBd21-3.2G0211900	Cluster_0	206	45	1.5201470960696108
BdiBd21-3.1G0039500	BdiBd21-3.2G0288900	Cluster_0	206	45	1.5117895282943588
BdiBd21-3.1G0039500	BdiBd21-3.2G0132000	Cluster_0	206	45	1.4966027579737657
BdiBd21-3.1G0039500	BdiBd21-3.2G0119800	Cluster_0	206	45	1.4958205412904833
BdiBd21-3.1G0039500	BdiBd21-3.1G0045100	Cluster_0	206	45	1.4889755468109136
BdiBd21-3.1G0039500	BdiBd21-3.1G0157600	Cluster_0	206	45	1.4488478238896645
BdiBd21-3.1G0039500	BdiBd21-3.2G0163800	Cluster_0	206	45	1.4480670458372964
BdiBd21-3.1G0039500	BdiBd21-3.2G0160400	Cluster_0	206	45	1.395540117867914
BdiBd21-3.1G0039500	BdiBd21-3.1G0206000	Cluster_0	206	45	1.3854143628832976
BdiBd21-3.1G0039500	BdiBd21-3.2G0222600	Cluster_0	206	45	1.3648123578393587
BdiBd21-3.1G0039500	BdiBd21-3.2G0027400	Cluster_0	206	45	1.3391141502801154
BdiBd21-3.1G0039500	BdiBd21-3.1G0050800	Cluster_0	206	45	1.3258954359896291
BdiBd21-3.1G0039500	BdiBd21-3.2G0063000	Cluster_0	206	45	1.2976262044788471
BdiBd21-3.1G0039500	BdiBd21-3.1G0313300	Cluster_0	206	45	1.279657281960643
BdiBd21-3.1G0039500	BdiBd21-3.1G0255300	Cluster_0	206	45	1.2761633783109048
BdiBd21-3.1G0039500	BdiBd21-3.1G0061200	Cluster_0	206	45	1.1526189522550834
BdiBd21-3.1G0039500	BdiBd21-3.2G0045300	Cluster_0	206	45	1.1263421199345935
BdiBd21-3.1G0039500	BdiBd21-3.2G0135200	Cluster_0	206	45	1.0307314111323629
BdiBd21-3.1G0039500	BdiBd21-3.3G0090000	Cluster_0	206	45	0.9382541525892611
BdiBd21-3.1G0039500	BdiBd21-3.2G0060000	Cluster_0	206	45	0.9306028599396255
BdiBd21-3.1G0039500	BdiBd21-3.2G0271800	Cluster_0	206	45	0.9296601349565028
BdiBd21-3.1G0039500	BdiBd21-3.2G0238901	Cluster_0	206	45	0.9082762565300059
BdiBd21-3.1G0039500	BdiBd21-3.1G0282500	Cluster_0	206	45	0.9076219512606064
BdiBd21-3.1G0039500	BdiBd21-3.2G0059400	Cluster_0	206	45	0.9032393564938852
BdiBd21-3.1G0039500	BdiBd21-3.1G0190500	Cluster_0	206	45	0.8949082488456785
BdiBd21-3.1G0039500	BdiBd21-3.2G0074700	Cluster_0	206	45	0.8933468887853669
BdiBd21-3.1G0039500	BdiBd21-3.3G0265400	Cluster_0	206	45	0.8848449443269538
BdiBd21-3.1G0039500	BdiBd21-3.2G0277200	Cluster_0	206	45	0.8802809511249411
BdiBd21-3.1G0039500	BdiBd21-3.3G0034900	Cluster_0	206	45	0.8775183056794637
BdiBd21-3.1G0039500	BdiBd21-3.1G0170100	Cluster_0	206	45	0.8737315785403917
BdiBd21-3.1G0039500	BdiBd21-3.1G0113000	Cluster_0	206	45	0.8654179485226062
BdiBd21-3.1G0039500	BdiBd21-3.3G0131400	Cluster_0	206	45	0.8415637359979972
BdiBd21-3.1G0039500	BdiBd21-3.1G0091800	Cluster_0	206	45	0.7953411573328083
BdiBd21-3.1G0039500	BdiBd21-3.1G0227700	Cluster_0	206	45	0.7926332626185745
BdiBd21-3.1G0039500	BdiBd21-3.1G0053600	Cluster_0	206	45	0.7751695093072097
BdiBd21-3.1G0039500	BdiBd21-3.1G0059000	Cluster_0	206	45	0.739169293707918
