	isTF_expressed	isTF_expressionRegulons	isTF_TFBSRegulons	isTF_finalRegulons	DividingGMCs-2	EarlyGCs-3	EarlyGMCs-1	Intercells-7	LateGCs-4	SCs-6	SMCs-5	Stage0to2-0
BdiBd21-3.1G0306500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0306600	1	1	1	0	2.4	1.4	0.3	0.6	0.0	0.5	0.4	4.4
BdiBd21-3.1G0307900	1	1	1	1	10.2	9.0	1.1	0.2	1.2	1.6	2.1	12.3
BdiBd21-3.1G0310800	1	1	1	0	0.0	0.2	0.0	0.0	0.0	0.2	0.0	0.2
BdiBd21-3.1G0314300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0315800	1	1	1	1	3.1	2.6	4.8	0.5	0.8	1.7	1.8	13.9
BdiBd21-3.1G0317400	1	1	1	1	5.5	3.3	3.7	1.7	5.3	4.4	2.5	14.5
BdiBd21-3.1G0317900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0318900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0323400	1	1	0	0	0.0	0.4	0.0	0.0	0.0	0.0	0.1	0.2
BdiBd21-3.1G0323700	1	1	1	0	0.8	0.8	1.4	0.3	0.0	0.2	0.5	2.6
BdiBd21-3.1G0326300	1	1	0	0	0.0	0.4	0.3	0.4	1.2	1.6	0.1	0.2
BdiBd21-3.1G0330700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0331600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0331800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0332700	1	1	0	0	41.6	44.8	38.7	28.4	26.3	44.9	36.8	63.8
BdiBd21-3.1G0333800	1	1	1	0	4.7	2.4	0.8	0.3	0.8	1.4	0.5	3.2
BdiBd21-3.1G0348000	1	1	0	0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.6
BdiBd21-3.1G0349100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0350000	1	1	1	0	1.6	0.2	0.0	0.0	0.0	0.0	0.2	9.7
BdiBd21-3.1G0353300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0353700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
BdiBd21-3.1G0353900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0356100	1	1	1	1	5.1	1.6	2.8	3.2	0.8	3.0	6.2	17.8
BdiBd21-3.1G0366500	1	1	0	0	0.4	0.2	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0374100	1	1	0	0	1.6	3.7	1.1	0.0	6.1	0.3	0.2	2.2
BdiBd21-3.1G0382800	1	1	1	0	0.0	1.0	0.6	0.1	0.0	0.3	0.3	2.4
BdiBd21-3.1G0387600	1	1	0	0	0.4	0.2	0.0	0.0	0.0	0.0	0.0	0.6
BdiBd21-3.1G0396000	1	1	0	0	0.4	0.2	0.0	0.0	0.0	0.0	0.1	0.4
BdiBd21-3.1G0398000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0398100	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0398200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0398600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0399200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0400000	1	1	1	0	0.0	0.0	0.3	0.0	0.0	0.2	0.2	0.8
BdiBd21-3.1G0402000	1	1	1	0	0.0	0.8	0.0	0.0	0.4	0.2	0.1	1.4
BdiBd21-3.1G0403400	1	1	1	0	2.4	0.8	0.3	0.0	2.4	0.0	0.1	3.6
BdiBd21-3.1G0404600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0409900	1	1	1	0	0.0	0.8	0.3	0.2	1.6	0.0	0.6	3.8
BdiBd21-3.1G0410100	1	1	1	0	0.8	1.6	2.0	0.2	5.7	0.2	0.1	2.4
BdiBd21-3.1G0411100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0411300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0411700	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0413500	1	1	1	1	4.3	4.5	13.6	2.0	2.8	5.5	7.0	32.5
BdiBd21-3.1G0419300	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.2
BdiBd21-3.1G0420500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0421000	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	2.2
BdiBd21-3.1G0425500	1	1	1	0	0.8	0.8	1.1	0.4	0.0	0.9	1.0	2.6
BdiBd21-3.1G0427600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0430600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0431900	1	1	0	0	2.7	1.6	2.3	0.1	0.4	1.1	0.1	11.7
BdiBd21-3.1G0433600	1	1	1	0	7.1	3.7	5.6	0.6	0.8	1.9	0.6	7.1
BdiBd21-3.1G0434000	1	1	0	0	0.4	0.6	0.0	0.4	0.0	0.5	0.1	0.0
BdiBd21-3.1G0437000	1	1	1	0	3.1	1.0	3.1	0.5	0.4	1.3	1.9	9.1
BdiBd21-3.1G0438900	1	1	0	0	0.0	0.4	0.0	0.3	0.0	0.0	0.0	0.4
BdiBd21-3.1G0439500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0443300	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.2	0.3	1.0
BdiBd21-3.1G0443800	1	1	1	1	4.7	1.4	4.0	0.4	0.8	0.9	0.9	13.1
BdiBd21-3.1G0446400	1	1	1	0	9.4	9.6	2.5	0.1	6.1	1.6	0.2	2.4
BdiBd21-3.1G0449900	1	1	1	1	11.8	4.7	6.8	1.0	1.2	1.1	1.9	14.7
BdiBd21-3.1G0452500	1	1	1	1	7.5	3.9	1.1	0.2	0.8	0.9	0.6	11.3
BdiBd21-3.1G0456100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0457400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0458800	1	1	1	1	11.8	4.5	3.7	0.1	0.0	0.9	0.5	18.6
BdiBd21-3.1G0463700	1	1	1	1	1.2	2.9	3.7	5.3	0.8	2.4	6.2	10.7
BdiBd21-3.1G0465700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0466000	1	1	1	0	0.4	0.2	0.3	0.0	0.0	0.0	0.1	2.0
BdiBd21-3.1G0469300	0	0	0	0								
BdiBd21-3.1G0471100	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.3	1.8
BdiBd21-3.1G0473200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0473300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0473600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4
BdiBd21-3.1G0475500	1	1	1	0	0.8	1.2	0.3	0.5	0.4	0.3	0.5	1.0
BdiBd21-3.1G0477400	0	0	0	0								
BdiBd21-3.1G0478300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0478400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0478500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0480400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0480900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0484200	1	1	1	0	9.4	4.7	7.6	1.7	0.8	5.1	1.3	6.3
BdiBd21-3.1G0486100	1	1	1	1	5.9	4.3	5.4	1.3	0.8	1.3	2.1	30.1
BdiBd21-3.1G0487000	1	1	1	1	7.1	14.9	4.2	0.4	14.6	3.6	1.1	7.3
BdiBd21-3.1G0488200	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
