label;cluster;TF;alias;celltype;isTF_DE;totRegInCluster;X.TGs;qval_cluster;out.degree;closeness;betweenness;med_coexpr;TF_qval;borda_rank;borda_clusterRank
Unknown 1;0_Cluster_0;BdiBd21-3.2G0638300;BdiBd21-3.2G0638300;0;0;143;270;2.1600099999999998e-58;0.5708245243128964;0;0;0.0773611242316367;NA;1276;129
Unknown 1;0_Cluster_0;BdiBd21-3.5G0205000;BdiBd21-3.5G0205000;0;1;143;327;8.20641e-54;0.6913319238900634;0.02794616684499125;3.409546089617709e-4;7.4583813367571485;1.70084624867394e-19;81;7
Unknown 1;0_Cluster_0;BdiBd21-3.3G0437000;BdiBd21-3.3G0437000;0;1;143;297;8.856989999999996e-72;0.627906976744186;0;0;0.19182747032060626;3.95725957843155e-19;662;66
Unknown 1;0_Cluster_0;BdiBd21-3.1G0256900;BdiBd21-3.1G0256900;0;0;143;290;1.40839e-57;0.6131078224101479;0.027671886036261785;1.7617497129419424e-4;0.13160171397747028;NA;785;83
Unknown 1;0_Cluster_0;BdiBd21-3.2G0083100;BdiBd21-3.2G0083100;0;0;143;281;3.68287e-46;0.5940803382663847;0.028132061524669686;2.3208763843957358e-4;0.09692276219942372;NA;778;80
Unknown 1;0_Cluster_0;BdiBd21-3.1G0054000;BdiBd21-3.1G0054000;0;0;143;298;1.6027599999999994e-61;0.6300211416490487;0.027671886036261785;1.3738788137523003e-4;0.1765756498680739;NA;710;75
Unknown 1;0_Cluster_0;BdiBd21-3.3G0664400;BdiBd21-3.3G0664400;0;0;143;272;1.88246e-51;0.5750528541226215;0;0;0.09752915045480827;NA;1310;133
Unknown 1;0_Cluster_0;BdiBd21-3.1G0931600;BdiBd21-3.1G0931600;0;1;143;205;1.94884e-52;0.4334038054968288;0;0;0.05296693635782282;3.35714446034498e-22;1067;109
Unknown 1;0_Cluster_0;BdiBd21-3.5G0278100;BdiBd21-3.5G0278100;0;0;143;322;1.1296499999999998e-47;0.6807610993657506;0.02719734136682964;2.4722222035155044e-4;0.5976208337829323;NA;383;36
Unknown 1;0_Cluster_0;BdiBd21-3.2G0591200;BdiBd21-3.2G0591200;0;0;143;253;3.18902e-45;0.5348837209302325;0;0;0.07153715042978881;NA;1388;140
Unknown 1;0_Cluster_0;BdiBd21-3.2G0757300;BdiBd21-3.2G0757300;0;0;143;249;1.2056699999999996e-54;0.5264270613107822;0;0;0.08308841921703645;NA;1329;134
Unknown 1;0_Cluster_0;BdiBd21-3.1G0071800;BdiBd21-3.1G0071800;0;1;143;294;4.3416199999999985e-64;0.6215644820295984;0.02615991700541449;1.2783953605022237e-4;0.20614848807181105;2.73557076809203e-14;485;58
Unknown 1;0_Cluster_0;BdiBd21-3.2G0688100;BdiBd21-3.2G0688100;0;0;143;300;4.4767199999999996e-69;0.6342494714587738;0;0;0.14000790329727306;NA;1048;97
Unknown 1;0_Cluster_0;BdiBd21-3.3G0510700;BdiBd21-3.3G0510700;0;0;143;288;1.5930999999999995e-51;0.6088794926004228;0;0;0.14761474123732507;NA;1235;122
Unknown 1;0_Cluster_0;BdiBd21-3.2G0629700;BdiBd21-3.2G0629700;0;1;143;200;2.2436399999999992e-88;0.4228329809725159;0;0;0.2299249064217985;1.9145035073236598e-64;389;16
Unknown 1;0_Cluster_0;BdiBd21-3.3G0060500;BdiBd21-3.3G0060500;0;0;143;281;7.88726e-60;0.5940803382663847;0.02682359354677807;1.137580837694581e-4;0.3760146888482464;NA;726;89
Unknown 1;0_Cluster_0;BdiBd21-3.4G0577600;BdiBd21-3.4G0577600;0;1;143;331;1.0339499999999994e-69;0.6997885835095138;1.278627589161105;1.007945587128677;4.469728926024248;7.1354207935029e-36;15;1
Unknown 1;0_Cluster_0;BdiBd21-3.5G0084100;BdiBd21-3.5G0084100;0;0;143;287;4.3416199999999985e-64;0.6067653276955602;0.02690892841490144;1.0899846171359436e-4;0.21452456179537371;NA;784;85
Unknown 1;0_Cluster_0;BdiBd21-3.1G0356100;BdiBd21-3.1G0356100;0;0;143;278;5.337979999999998e-65;0.5877378435517969;0;0;0.08913964485188894;NA;1207;118
Unknown 1;0_Cluster_0;BdiBd21-3.4G0496700;BdiBd21-3.4G0496700;0;0;143;324;5.24421e-55;0.6849894291754757;0.02743256161648871;2.2632745508152196e-4;0.3546027212190051;NA;411;37
Unknown 1;0_Cluster_0;BdiBd21-3.4G0527000;BdiBd21-3.4G0527000;0;0;143;267;1.42698e-53;0.5644820295983086;0.027521821578364487;1.5479656157092137e-4;0.08775918138476219;NA;952;106
Unknown 1;0_Cluster_0;BdiBd21-3.4G0396500;BdiBd21-3.4G0396500;0;1;143;312;2.0857399999999997e-74;0.6596194503171248;0.028672451407064467;1.538359366607405e-4;0.3450885284440682;4.48562171881461e-24;226;17
Unknown 1;0_Cluster_0;BdiBd21-3.1G0317400;BdiBd21-3.1G0317400;0;1;143;278;4.3896299999999996e-61;0.5877378435517969;0.026515276379573727;1.5543848094205225e-4;0.19071431610647585;7.657806383552819e-21;486;57
Unknown 1;0_Cluster_0;BdiBd21-3.5G0296400;BdiBd21-3.5G0296400;0;0;143;303;4.48904e-53;0.6405919661733616;0.028835363062786425;2.4348882540370162e-4;2.358698948760856;NA;241;29
Unknown 1;0_Cluster_0;BdiBd21-3.2G0219800;BdiBd21-3.2G0219800;0;1;143;304;1.9245799999999996e-46;0.642706131078224;0.028100907525196072;2.921208287715457e-4;1.2912754012933418;1.41501537776283e-19;213;22
Unknown 1;0_Cluster_0;BdiBd21-3.5G0093300;BdiBd21-3.5G0093300;0;0;143;240;6.2405e-52;0.507399577167019;0.025787723064280548;1.4928490746223818e-4;0.11315671592837155;NA;1052;108
Unknown 1;0_Cluster_0;BdiBd21-3.1G0613800;BdiBd21-3.1G0613800;0;1;143;325;2.5903499999999996e-61;0.6871035940803383;0;0;5.699752091863682;2.2330947427736e-9;257;32
Unknown 1;0_Cluster_0;BdiBd21-3.2G0075000;BdiBd21-3.2G0075000;0;0;143;286;1.22453e-51;0.6046511627906976;0.0294374936139815;1.987038176276864e-4;0.16124807625473794;NA;581;56
Unknown 1;0_Cluster_0;BdiBd21-3.1G0638900;BdiBd21-3.1G0638900;0;0;143;286;8.96837e-56;0.6046511627906976;0;0;0.11890886709015305;NA;1232;124
Unknown 1;0_Cluster_0;BdiBd21-3.3G0133400;BdiBd21-3.3G0133400;0;0;143;307;3.9500299999999985e-71;0.6490486257928119;0.028225939371804287;1.445997648560788e-4;0.17815057041645604;NA;508;43
Unknown 1;0_Cluster_0;BdiBd21-3.3G0608800;BdiBd21-3.3G0608800;0;0;143;257;4.79398e-50;0.5433403805496829;0;0;0.060366359471336214;NA;1356;139
Unknown 1;0_Cluster_0;BdiBd21-3.5G0271500;BdiBd21-3.5G0271500;0;0;143;295;7.915979999999997e-61;0.6236786469344608;0.028383802567396036;2.012378001185796e-4;0.15634979238926694;NA;584;59
Unknown 1;0_Cluster_0;BdiBd21-3.3G0777000;BdiBd21-3.3G0777000;0;1;143;273;3.9036999999999995e-68;0.5771670190274841;0;0;0.08840476730954151;4.94319928597836e-24;828;90
Unknown 1;0_Cluster_0;BdiBd21-3.1G0714400;BdiBd21-3.1G0714400;0;0;143;300;9.040019999999999e-36;0.6342494714587738;0;0;0.7314258933612816;NA;991;107
Unknown 1;0_Cluster_0;BdiBd21-3.3G0248900;BdiBd21-3.3G0248900;0;0;143;288;9.5601900000000009e-53;0.6088794926004228;0.02794616684499125;1.8297115896793003e-4;0.14176969653246274;NA;790;84
Unknown 1;0_Cluster_0;BdiBd21-3.1G0039500;BdiBd21-3.1G0039500;0;0;143;279;5.401859999999998e-60;0.5898520084566596;0.029783004102408518;1.6955520425152742e-4;0.11061598631082092;NA;606;64
Unknown 1;0_Cluster_0;BdiBd21-3.1G0959600;BdiBd21-3.1G0959600;0;0;143;312;2.46205e-69;0.6596194503171248;0;0;0.4840743534955146;NA;739;73
Unknown 1;0_Cluster_0;BdiBd21-3.2G0761800;BdiBd21-3.2G0761800;0;0;143;299;4.322219999999999e-59;0.6321353065539113;0;0;0.10624047427014012;NA;1157;114
Unknown 1;0_Cluster_0;BdiBd21-3.1G0973400;BdiBd21-3.1G0973400;0;0;143;323;1.69615e-47;0.6828752642706131;0;0;1.1432265346274602;NA;673;79
Unknown 1;0_Cluster_0;BdiBd21-3.2G0730700;BdiBd21-3.2G0730700;0;0;143;304;6.4173499999999975e-62;0.642706131078224;0;0;0.2302815932345862;NA;998;101
Unknown 1;0_Cluster_0;BdiBd21-3.2G0322400;BdiBd21-3.2G0322400;0;1;143;302;2.761249999999999e-78;0.6384778012684991;0;0;0.29176798220602945;1.3145336434525099e-24;460;40
Unknown 1;0_Cluster_0;BdiBd21-3.4G0102700;BdiBd21-3.4G0102700;0;0;143;290;2.28001e-57;0.6131078224101479;0.02673879820363757;1.5012850679237732e-4;0.11217348239466532;NA;868;95
Unknown 1;0_Cluster_0;BdiBd21-3.1G0463700;BdiBd21-3.1G0463700;0;1;143;268;1.2876599999999997e-65;0.5665961945031712;0;0;0.27633332443247804;4.20668400005087e-47;503;47
Unknown 1;0_Cluster_0;BdiBd21-3.2G0074800;BdiBd21-3.2G0074800;0;1;143;319;1.3319299999999994e-95;0.6744186046511628;1.2647827400102425;1.006117715388015;0.8289266560346529;4.349066518531658e-58;21;2
Unknown 1;0_Cluster_0;BdiBd21-3.1G0214700;BdiBd21-3.1G0214700;0;1;143;300;5.01374e-78;0.6342494714587738;0.02589297907678781;1.3383120753902955e-4;0.22277773311310306;6.5148257684351394e-24;356;31
Unknown 1;0_Cluster_0;BdiBd21-3.2G0486500;BdiBd21-3.2G0486500;0;0;143;284;2.4376899999999995e-59;0.6004228329809725;0;0;0.1297325727749651;NA;1205;119
Unknown 1;0_Cluster_0;BdiBd21-3.1G0937200;BdiBd21-3.1G0937200;0;0;143;287;1.4722399999999995e-60;0.6067653276955602;0;0;1.326660855507902;NA;763;96
Unknown 1;0_Cluster_0;BdiBd21-3.1G0823500;BdiBd21-3.1G0823500;0;0;143;320;2.6596199999999994e-65;0.6765327695560254;0;0;3.906040763051868;NA;402;52
Unknown 1;0_Cluster_0;BdiBd21-3.3G0193600;BdiBd21-3.3G0193600;0;1;143;311;2.9359999999999993e-67;0.6575052854122622;0.026598657751836542;1.8733512537999863e-4;0.16297083388915345;1.0232363309979798e-12;403;38
Unknown 1;0_Cluster_0;BdiBd21-3.3G0767500;BdiBd21-3.3G0767500;0;1;143;335;4.2823e-50;0.7082452431289641;0;0;6.627871678021891;1.27646409534588e-61;147;6
Unknown 1;0_Cluster_0;BdiBd21-3.3G0622400;BdiBd21-3.3G0622400;0;0;143;272;1.02717e-64;0.5750528541226215;0;0;0.16319205528416775;NA;1168;112
Unknown 1;0_Cluster_0;BdiBd21-3.1G1022700;BdiBd21-3.1G1022700;0;0;143;282;1.6462599999999995e-66;0.5961945031712473;0;0;0.10757209959829442;NA;1170;111
Unknown 1;0_Cluster_0;BdiBd21-3.2G0610700;BdiBd21-3.2G0610700;0;0;143;291;9.09973e-52;0.6152219873150105;0;0;0.15264417676645492;NA;1213;120
Unknown 1;0_Cluster_0;BdiBd21-3.2G0002000;BdiBd21-3.2G0002000;0;1;143;255;3.752729999999998e-61;0.5391120507399577;1.2279680274954494;1.0033107732826891;0.1308401203806802;2.8372683320603e-45;150;10
Unknown 1;0_Cluster_0;BdiBd21-3.4G0330400;BdiBd21-3.4G0330400;0;0;143;282;4.14373e-55;0.5961945031712473;0.027110170400910318;1.554023428690377e-4;0.09968494961494023;NA;903;98
Unknown 1;0_Cluster_0;BdiBd21-3.3G0669400;BdiBd21-3.3G0669400;0;0;143;304;9.251629999999994e-78;0.642706131078224;0;0;0.15612037643132493;NA;923;82
Unknown 1;0_Cluster_0;BdiBd21-3.5G0066700;BdiBd21-3.5G0066700;0;0;143;313;4.748949999999998e-73;0.6617336152219874;0.029923489970816106;1.9139269424524248e-4;4.611212154944188;NA;155;12
Unknown 1;0_Cluster_0;BdiBd21-3.3G0593500;BdiBd21-3.3G0593500;0;0;143;218;1.7845400000000002e-44;0.4608879492600423;0;0;0.07338429470141444;NA;1419;143
Unknown 1;0_Cluster_0;BdiBd21-3.3G0192400;BdiBd21-3.3G0192400;0;1;143;311;6.261189999999997e-65;0.6575052854122622;1.273269366292622;1.0058489656119731;15.923232794089156;4.331490341220221e-38;6;3
Unknown 1;0_Cluster_0;BdiBd21-3.1G0049600;BdiBd21-3.1G0049600;0;0;143;280;2.02997e-55;0.5919661733615222;0.02876997675198645;2.2686461270224258e-4;0.13045916885421527;NA;610;60
Unknown 1;0_Cluster_0;BdiBd21-3.1G0054700;BdiBd21-3.1G0054700;0;0;143;330;1.13175e-44;0.6976744186046512;0.027343878766435403;3.143898848980082e-4;7.346337287135704;NA;171;13
Unknown 1;0_Cluster_0;BdiBd21-3.1G0656800;BdiBd21-3.1G0656800;0;0;143;241;4.6921499999999985e-43;0.5095137420718816;0;0;0.11132179153707232;NA;1397;137
Unknown 1;0_Cluster_0;BdiBd21-3.3G0221500;BdiBd21-3.3G0221500;0;0;143;287;1.0842499999999999e-54;0.6067653276955602;0.02806982245050006;2.113509215252983e-4;0.12271606337040535;NA;723;77
Unknown 1;0_Cluster_0;BdiBd21-3.3G0015800;BdiBd21-3.3G0015800;0;0;143;275;1.1861e-51;0.5813953488372093;0.02764174236955562;1.716745436968628e-4;0.09385718131958937;NA;901;100
Unknown 1;0_Cluster_0;BdiBd21-3.3G0118700;BdiBd21-3.3G0118700;0;1;143;268;2.4320699999999994e-55;0.5665961945031712;0.028737394671859637;1.7514960061577742e-4;0.145852183941338;5.82621254458809e-9;494;55
Unknown 1;0_Cluster_0;BdiBd21-3.3G0724600;BdiBd21-3.3G0724600;0;0;143;270;1.4047699999999996e-62;0.5708245243128964;0;0;0.10652231595758332;NA;1228;123
Unknown 1;0_Cluster_0;BdiBd21-3.3G0204900;BdiBd21-3.3G0204900;0;0;143;270;1.65364e-55;0.5708245243128964;0.027762712795680586;1.4555262414844497e-4;0.4395648265841071;NA;661;81
Unknown 1;0_Cluster_0;BdiBd21-3.4G0096900;BdiBd21-3.4G0096900;0;0;143;316;2.24151e-52;0.6680761099365751;0.027762712795680586;2.4877144687780305e-4;2.856202969432041;NA;245;30
Unknown 1;0_Cluster_0;BdiBd21-3.3G0084400;BdiBd21-3.3G0084400;0;0;143;306;7.60181e-61;0.6469344608879493;0.02755170412079485;2.2014599211887725e-4;0.23028219456464885;NA;501;50
Unknown 1;0_Cluster_0;BdiBd21-3.2G0681500;BdiBd21-3.2G0681500;0;1;143;331;2.0165899999999996e-79;0.6997885835095138;0;0;6.621100607503277;2.2725964929971094e-36;138;8
Unknown 1;0_Cluster_0;BdiBd21-3.4G0498200;BdiBd21-3.4G0498200;0;0;143;279;5.85779e-47;0.5898520084566596;0.028672451407064467;2.0787246537266304e-4;0.11012987881080773;NA;743;78
Unknown 1;0_Cluster_0;BdiBd21-3.1G0235000;BdiBd21-3.1G0235000;0;1;143;253;1.5765499999999992e-81;0.5348837209302325;0.02458829408454656;7.19668814806994e-5;0.1967406589913258;2.7651470177602597e-12;502;41
Unknown 1;0_Cluster_0;BdiBd21-3.1G0298900;BdiBd21-3.1G0298900;0;1;143;297;3.400599999999998e-88;0.627906976744186;0.027671886036261785;1.4428642189373483e-4;0.21373135217291234;7.6906999727217385e-34;263;18
Unknown 1;0_Cluster_0;BdiBd21-3.1G0315800;BdiBd21-3.1G0315800;0;1;143;308;3.89219e-74;0.6511627906976745;0.026767003686974745;1.3788104109391873e-4;0.4326311335122839;5.70659012067059e-20;302;27
