Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
538539,22.7979,22.7979,6.97447,-94.7003,0.249995
538987,64.9294,64.9294,10.1416,7.42299,0.249995
538139,30.0338,30.0338,16.3673,186.534,0.249995
538523,46.3114,46.3114,-8.97663,7.00498,0.249995
538715,45.6607,45.6607,3.75309,108.575,0.249995
538971,14.0268,14.0268,13.9669,-96.9523,0.249995
538459,62.8148,62.8148,3.91246,81.0471,0.249995
538843,79.6011,79.6011,-8.21748,113.165,0.249995
538587,22.7758,22.7758,-10.5221,-75.5671,0.249995
538683,104.497,104.497,14.3228,-150.35,0.249995
538939,23.6248,23.6248,16.907,-6.37703,0.249995
539003,60.065,60.065,-8.49448,88.4333,0.249995
537979,54.334,54.334,16.8383,172.839,0.249995
538491,43.8183,43.8183,16.6625,109.152,0.249995
539015,54.7064,54.7064,10.2167,187.452,0.249995
538695,60.687,60.687,-11.2437,-83.241,0.249995
538951,57.3913,57.3913,13.9331,-177.316,0.249995
538311,57.9547,57.9547,-2.01701,95.033,0.249995
538567,64.2029,64.2029,-2.11363,104.482,0.249995
538919,78.5483,78.5483,14.0484,-133.554,0.249995
538727,56.4029,56.4029,-2.20945,121.715,0.249995
538215,33.4,33.4,4.0622,159.932,0.249995
538983,71.1875,71.1875,-2.9333,3.26635,0.249995
538343,20.1753,20.1753,13.7173,-77.628,0.249995
538519,19.5695,19.5695,7.41814,-71.4349,0.249995
538711,52.0122,52.0122,16.5955,-0.600001,0.249995
538839,101.859,101.859,-9.1888,154.236,0.249995
538327,45.007,45.007,10.4309,112.204,0.249995
538583,24.6471,24.6471,1.82266,-52.8288,0.249995
538935,48.0941,48.0941,16.0068,-27.0554,0.249995
538423,30.0366,30.0366,-9.85327,-55.9893,0.249995
538807,90.0185,90.0185,-10.2284,-66.0229,0.249995
538295,34.2692,34.2692,13.8023,-141.102,0.249995
538039,24.1299,24.1299,-5.78769,-114.917,0.249995
538999,58.2546,58.2546,4.17488,70.5374,0.249995
538703,41.8446,41.8446,-2.07862,113.725,0.249995
538959,18.4449,18.4449,6.98498,-148.388,0.249995
538831,31.5969,31.5969,16.8566,75.2695,0.249995
538319,59.1218,59.1218,-2.33673,186.339,0.249995
538063,49.2767,49.2767,-8.95431,15.4116,0.249995
538159,59.1963,59.1963,3.79988,137.469,0.249995
538415,23.8989,23.8989,14.2345,-159.032,0.249995
538223,36.2949,36.2949,10.9614,56.2854,0.249995
538991,61.6555,61.6555,10.3821,18.5124,0.249995
538783,72.4125,72.4125,-4.06986,-54.9578,0.249995
538719,65.7761,65.7761,14.3783,-165.446,0.249995
538975,14.2655,14.2655,14.593,-51.6999,0.249995
538463,44.565,44.565,10.2525,105.526,0.249995
538335,44.23,44.23,10.748,50.4546,0.249995
538591,91.1743,91.1743,-3.23328,-21.5375,0.249995
538815,28.8391,28.8391,6.58311,-177.236,0.249995
539007,54.5083,54.5083,16.9759,153.142,0.249995
538367,48.9975,48.9975,7.06788,-77.047,0.249995


Area HeatMap results for mesh 1
Signal range: 0-250 µm²
