Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
492288,19.9637,19.9637,-19.1123,-192.533,0.999999
492320,40.3446,40.3446,12.2486,41.4302,1
492384,78.9698,78.9698,-12.4196,-88.7137,1
492304,128.723,128.723,-3.78186,-49.4301,1
492368,75.4102,75.4102,-15.8335,170.521,1
492336,69.3133,69.3133,-8.89226,134.079,1
492296,39.0046,39.0046,-12.653,-105.867,1
492328,113.539,113.539,-17.8205,118.081,1
492264,19.0816,19.0816,-19.7806,-168.171,1
492312,41.076,41.076,11.5873,20.1412,1
492376,65.0949,65.0949,14.7637,136.448,1
492344,88.0249,88.0249,-6.04169,183.604,1
492280,39.9847,39.9847,-20.7746,-108.905,1
492292,21.6955,21.6955,-13.1361,-102.111,0.999999
472356,0.0438368,0.0438368,4,193,0
492324,63.3896,63.3896,-18.6942,67.9068,1
492308,40.4574,40.4574,11.0804,-7.16504,0.999999
492340,82.6666,82.6666,-7.24025,172.052,1
492276,23.3792,23.3792,-20.5831,-128.593,1
492300,13.9084,13.9084,11.1205,-76.7555,0.999999
492364,37.088,37.088,13.6955,107.289,0.999999
492332,80.5415,80.5415,-9.29445,124.413,1
492268,41.4372,41.4372,-20.8128,-146.336,1
492316,57.2831,57.2831,13.7115,66.4703,1
492252,19.8011,19.8011,-12.4033,-152.012,0.999999
492354,49.7729,49.7729,15.6063,162.527,1
492386,71.098,71.098,12.8611,-184.112,1
492306,48.7155,48.7155,-20.2685,15.2168,1
492370,60.3074,60.3074,16.1564,171.34,1
492338,36.5603,36.5603,-8.25845,152.801,0.999999
492298,22.8414,22.8414,-11.9489,-82.5112,0.999999
492266,73.5456,73.5456,-20.0873,-157.027,1
492314,47.5882,47.5882,7.13116,72.0273,1
492378,44.1777,44.1777,-20.3846,-75.5859,1
492346,72.3424,72.3424,0.86285,175.686,1
492282,28.2454,28.2454,-21.1565,-97.4964,1
492294,17.698,17.698,4.52578,-101.962,0.999999
492326,38.3875,38.3875,-10.2945,81.0565,1
492262,32.5702,32.5702,-19.2501,-180.627,1
492310,45.3801,45.3801,11.332,6.9353,1
492374,31.7421,31.7421,15.1333,151.047,1
492278,45.8944,45.8944,-20.9653,-117.751,1
492302,12.6062,12.6062,4.73086,-60.461,0.999999
492334,44.9365,44.9365,-16.6474,145.944,1
492270,51.0928,51.0928,-20.4166,-133.703,1
492318,69.8806,69.8806,13.0282,56.2785,1
492382,44.5383,44.5383,-20.7341,-89.7517,1
492254,58.2832,58.2832,4.4938,-142.835,1
492350,119.403,119.403,8.31343,154.871,1
492286,67.623,67.623,-12.6846,-114.153,1
472577,44.5015,44.5015,11.182,-81.5005,1
472321,61.2225,61.2225,4.43499,-13.106,1
471681,47.265,47.265,-20.695,-43.8091,1
471617,61.2051,61.2051,-20.9934,-25.5037,1
492353,31.2977,31.2977,15.5094,156.225,1
472353,77.7546,77.7546,4.28376,-29.2199,1
471713,77.2084,77.2084,-18.0338,106.949,1
472161,114.497,114.497,-3.4967,9.01718,1
472673,68.9507,68.9507,13.9966,93.8515,1
472593,60.9144,60.9144,11.0102,-34.4924,1
472337,42.9337,42.9337,4.06094,-113.564,1
492305,36.1421,36.1421,-20.7974,9.48706,1
471697,55.2244,55.2244,-19.7679,45.0634,1
472465,90.4218,90.4218,7.32846,122.441,1
471953,77.119,77.119,-10.1668,65.0225,1
472401,41.4013,41.4013,4.1221,-20.4241,1
492369,49.2482,49.2482,-16.0949,163.385,1
471889,73.1329,73.1329,-12.597,4.48457,1
492337,94.0568,94.0568,-8.96013,144.14,1
471857,84.0239,84.0239,-12.7138,-140.994,0.999999
472241,167.242,167.242,-1.31625,71.4652,1
472177,130.077,130.077,-4.03222,-35.5991,1
472561,16.1286,16.1286,11.3201,-144.065,0.999999
472585,47.7203,47.7203,11.2552,-62.7638,1
472329,29.5548,29.5548,4.5026,-150.678,0.999999
492297,17.3441,17.3441,-12.5103,-109.274,0.999999
471689,44.0138,44.0138,-20.3312,21.712,1
471945,77.0709,77.0709,-12.192,-167.393,1
492361,72.152,72.152,14.2563,125.858,1
471881,74.7545,74.7545,-12.9574,-40.1445,1
472617,71.7699,71.7699,11.9698,-170.622,1
492329,81.7348,81.7348,-17.3355,129.054,1
471849,62.8224,62.8224,-13.105,-20.7699,1
472169,133.974,133.974,-3.48454,-134.747,1
492265,28.1643,28.1643,-19.7926,-164.52,0.999999
472345,63.0087,63.0087,4.72029,-76.8947,1
492313,70.5037,70.5037,6.91241,80.0059,1
472217,103.056,103.056,-2.31331,47.5584,1
471705,77.9882,77.9882,-19.4457,53.5955,1
472473,108.574,108.574,6.79191,100.809,1
471961,71.435,71.435,-10.3838,93.0942,1
472153,123.976,123.976,-3.77577,-121.101,1
472409,65.4281,65.4281,5.02493,23.6646,0.999999
472281,99.169,99.169,-0.459312,138.896,1
492249,13.553,13.553,13.6097,-190.314,0.999999
492345,102.754,102.754,2.17063,186.584,1
472249,142.821,142.821,-0.166954,152.367,1
492281,56.5611,56.5611,-21.136,-102.963,1
471801,102.219,102.219,-15.994,154.732,1
472581,16.6036,16.6036,11.5532,-67.9614,0.999999
492293,70.8413,70.8413,-13.185,-96.9557,1
471941,36.0615,36.0615,-10.6488,-188.402,0.999999
471621,39.8467,39.8467,-20.8736,-11.4483,1
472389,91.812,91.812,5.37846,-178.781,1
471877,79.6329,79.6329,-12.7638,-58.9998,1
492325,39.8049,39.8049,-10.547,86.0365,1
472869,0.017984,0.017984,21.0403,192.576,0
472229,156.05,156.05,-1.75149,88.3315,1
472165,116.839,116.839,-3.3003,-161.46,1
472421,69.7543,69.7543,5.98623,53.4787,1
472085,77.3589,77.3589,-3.86627,-94.9108,1
472597,73.8436,73.8436,10.9042,-19.5803,1
492309,40.3387,40.3387,11.5639,-0.238407,1
472405,95.8919,95.8919,4.7171,12.9141,1
492341,81.6248,81.6248,-14.2143,179.23,1
471861,52.4754,52.4754,-13.0253,-120.831,1
472245,89.5225,89.5225,-0.53749,128.478,1
471925,82.5843,82.5843,-12.2652,-158.221,1
492277,47.4292,47.4292,-20.8113,-124.106,1
472565,45.1158,45.1158,11.0944,-130.51,0.999999
472589,42.4277,42.4277,11.2455,-51.1649,1
472333,53.3402,53.3402,4.46688,-127.335,1
492301,38.4381,38.4381,11.2697,-72.4334,1
471693,50.7633,50.7633,-19.5972,37.9585,1
472461,77.7295,77.7295,6.88115,89.4406,1
