Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
532992,88.5244,88.5244,10.8037,24.375,0.249995
533312,125.622,125.622,4.80994,165.635,0.249995
533024,29.7412,29.7412,-7.65552,-128.326,0.249995
532960,90.3889,90.3889,-5.25087,25.8898,0.249995
533472,36.2152,36.2152,9.61393,94.1406,0.249995
533008,99.6576,99.6576,-6.42323,4.15678,0.249995
532816,64.3375,64.3375,-11.676,58.9592,0.249995
532944,51.6674,51.6674,9.65387,78.9117,0.249995
533296,104.889,104.889,-14.7009,-59.1917,0.249995
533168,60.506,60.506,-4.27249,114.75,0.249995
532912,57.4451,57.4451,-11.434,86.216,0.249995
533448,21.1911,21.1911,-7.63332,-144.744,0.249995
533352,95.5607,95.5607,10.2258,126.928,0.249995
533464,13.5444,13.5444,-12.2432,34.9433,0.249995
532792,96.2153,96.2153,-2.30966,160.284,0.249995
533252,47.8211,47.8211,-9.39287,145.843,0.249995
533188,117.49,117.49,13.5882,-64.697,0.249995
533444,23.4374,23.4374,14.296,-158.425,0.249995
533284,19.6407,19.6407,13.4797,-37.9758,0.249995
533092,107.83,107.83,-4.47655,102.272,0.249995
532836,113.122,113.122,13.7247,-80.8114,0.249995
533476,119.878,119.878,10.9444,142.4,0.249995
533012,86.5999,86.5999,-4.53378,51.7455,0.249995
533268,90.9589,90.9589,14.4444,-166.321,0.249995
533460,22.5426,22.5426,-14.3088,5.83998,0.249995
532788,21.4539,21.4539,7.25776,-161.51,0.249995
533300,82.5959,82.5959,-11.1791,97.5285,0.249995
532916,121.47,121.47,13.6231,-47.8498,0.249995
533364,117.391,117.391,0.514128,12.2547,0.249995
533004,118.777,118.777,6.80865,-51.9494,0.249995
533324,89.9315,89.9315,-7.39698,-152.023,0.249995
533452,155.565,155.565,-14.6969,-75.1706,0.249995
533292,91.5383,91.5383,13.3826,-30.2847,0.249995
533100,113.421,113.421,4.18087,148.943,0.249995
532844,25.9133,25.9133,13.04,-21.7982,0.249995
