"gene";"cluster";"celltype";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"BdiBd21-3.1G0416200";"10";"Unknown 2";3.03460186175203e-13;-0.540813948561491;0.652;0.276;1.18555825534928e-08
"BdiBd21-3.3G0261600";"10";"Unknown 2";3.0443744423216e-13;-0.577270130851522;0.613;0.252;1.1893762071262e-08
"BdiBd21-3.1G0862700";"10";"Unknown 2";3.04703770457379e-13;-0.714193571383171;0.348;0.125;1.19041669042289e-08
"BdiBd21-3.2G0491500";"10";"Unknown 2";3.05554231139449e-13;-0.480262301288839;0.343;0.124;1.1937392702156e-08
"BdiBd21-3.1G0816300";"10";"Unknown 2";3.07251234726788e-13;-0.176514073827185;0.425;0.168;1.20036912383061e-08
"BdiBd21-3.1G0401600";"10";"Unknown 2";3.08029276275821e-13;-0.342149627857316;0.718;0.316;1.20340877655438e-08
"BdiBd21-3.2G0757500";"10";"Unknown 2";3.08945644647864e-13;-0.495678091476003;0.271;0.089;1.20698884451027e-08
"BdiBd21-3.1G0236000";"10";"Unknown 2";3.09390895760619e-13;-0.254322390392384;0.464;0.297;1.20872835155758e-08
"BdiBd21-3.1G0902300";"10";"Unknown 2";3.09617277344564e-13;-0.67057097253213;0.42;0.16;1.20961277912974e-08
"BdiBd21-3.5G0249800";"10";"Unknown 2";3.09697477408664e-13;-0.433668884192856;0.564;0.245;1.20992610474017e-08
"BdiBd21-3.2G0562000";"10";"Unknown 2";3.13941873664911e-13;0.262775551934027;0.912;0.486;1.22650811203407e-08
"BdiBd21-3.3G0643400";"10";"Unknown 2";3.18530354063214e-13;-0.54473323113962;0.459;0.181;1.24443438725417e-08
"BdiBd21-3.3G0318300";"10";"Unknown 2";3.23348230436659e-13;-0.528360899710134;0.359;0.132;1.26325686666994e-08
"BdiBd21-3.1G0533400";"10";"Unknown 2";3.26986950216406e-13;0.255847147914626;0.917;0.468;1.27747261710545e-08
"BdiBd21-3.5G0224700";"10";"Unknown 2";3.27817781331904e-13;-0.504461636054502;0.315;0.11;1.28071850810748e-08
"BdiBd21-3.4G0353200";"10";"Unknown 2";3.2832981342093e-13;-0.389178974070676;0.376;0.141;1.28271891507289e-08
"BdiBd21-3.1G0466200";"10";"Unknown 2";3.30099171505338e-13;-0.580282520283358;0.398;0.153;1.28963144323705e-08
"BdiBd21-3.1G0014900";"10";"Unknown 2";3.35303147115768e-13;-0.564779533830128;0.613;0.255;1.30996233515188e-08
"BdiBd21-3.3G0563700";"10";"Unknown 2";3.4903255311144e-13;-0.687966949852324;0.337;0.121;1.36360037849577e-08
"BdiBd21-3.1G0618700";"10";"Unknown 2";3.54649623435409e-13;-0.244317171366142;0.729;0.324;1.38554514883745e-08
"BdiBd21-3.3G0480300";"10";"Unknown 2";3.5599496176047e-13;0.2665170682391;0.851;0.419;1.3908011166058e-08
"BdiBd21-3.2G0097600";"10";"Unknown 2";3.5807015619456e-13;-0.289997272856881;0.597;0.25;1.39890848622091e-08
"BdiBd21-3.4G0023900";"10";"Unknown 2";3.5934029928029e-13;-0.568283655187271;0.26;0.084;1.40387068122824e-08
"BdiBd21-3.2G0486900";"10";"Unknown 2";3.62429735015144e-13;-0.371015828030022;0.282;0.099;1.41594048875716e-08
"BdiBd21-3.3G0477500";"10";"Unknown 2";3.62654603091759e-13;-0.792006219518913;0.26;0.084;1.41681900335888e-08
"BdiBd21-3.3G0408900";"10";"Unknown 2";3.6343148063591e-13;-0.599489436520961;0.392;0.15;1.41985410854837e-08
"BdiBd21-3.2G0260301";"10";"Unknown 2";3.71127304691169e-13;0.181663301541989;0.895;0.433;1.44992015396746e-08
"BdiBd21-3.1G0448300";"10";"Unknown 2";3.73009876842537e-13;-0.852460613556815;0.32;0.112;1.45727498684842e-08
"BdiBd21-3.3G0340800";"10";"Unknown 2";3.89885758441468e-13;-0.543980327253504;0.425;0.164;1.52320568107913e-08
"BdiBd21-3.2G0379700";"10";"Unknown 2";3.9047176155755e-13;-0.522573348609745;0.403;0.155;1.52549507805304e-08
"BdiBd21-3.1G1008300";"10";"Unknown 2";3.90778248697346e-13;0.258245827597302;0.254;0.083;1.52669246201079e-08
"BdiBd21-3.1G0723900";"10";"Unknown 2";3.91747572990816e-13;-0.362524151941493;0.674;0.287;1.53047941816052e-08
"BdiBd21-3.2G0666300";"10";"Unknown 2";3.98887012876438e-13;-0.105409619042843;0.729;0.353;1.55837178190567e-08
"BdiBd21-3.3G0089900";"10";"Unknown 2";3.99107266974333e-13;-0.497536306131562;0.547;0.222;1.55923227061532e-08
"BdiBd21-3.1G0920300";"10";"Unknown 2";4.04071596620963e-13;-0.221460566013922;0.464;0.191;1.57862691367878e-08
"BdiBd21-3.4G0225866";"10";"Unknown 2";4.06001152068205e-13;-0.233466487866921;0.442;0.178;1.58616530090007e-08
"BdiBd21-3.3G0032000";"10";"Unknown 2";4.10660293282613e-13;-0.171786774625672;0.768;0.34;1.60436763379651e-08
"BdiBd21-3.4G0359100";"10";"Unknown 2";4.13795227392736e-13;-0.29092565068167;0.309;0.109;1.61661519437794e-08
"BdiBd21-3.1G0727600";"10";"Unknown 2";4.17168007911568e-13;-0.602930156738466;0.464;0.182;1.62979197330891e-08
"BdiBd21-3.3G0486500";"10";"Unknown 2";4.18348854590078e-13;-0.398392503490222;0.309;0.108;1.63440530511252e-08
"BdiBd21-3.1G1018300";"10";"Unknown 2";4.18743027418948e-13;-0.415009347776537;0.691;0.297;1.63594525952035e-08
"BdiBd21-3.2G0059400";"10";"Unknown 2";4.18848352014145e-13;0.316245859399848;0.878;0.456;1.63635674164886e-08
"BdiBd21-3.5G0190900";"10";"Unknown 2";4.22288505969072e-13;-0.466803275575137;0.652;0.279;1.64979673511997e-08
"BdiBd21-3.1G0118900";"10";"Unknown 2";4.33645065457329e-13;-0.518969709428814;0.536;0.219;1.69416454172869e-08
"BdiBd21-3.5G0097000";"10";"Unknown 2";4.33890978588398e-13;-0.279787332270053;0.387;0.147;1.69512527514915e-08
"BdiBd21-3.3G0090300";"10";"Unknown 2";4.41903448726947e-13;-0.140234742827153;0.254;0.083;1.72642839348643e-08
"BdiBd21-3.1G0026900";"10";"Unknown 2";4.43033558011682e-13;0.252547665455938;0.901;0.459;1.73084350444004e-08
"BdiBd21-3.3G0329900";"10";"Unknown 2";4.46272167820748e-13;-0.318661911045047;0.271;0.09;1.7434961052421e-08
"BdiBd21-3.2G0472400";"10";"Unknown 2";4.48361966797985e-13;-0.324928146814363;0.635;0.272;1.75166053188637e-08
"BdiBd21-3.2G0792400";"10";"Unknown 2";4.49864629097096e-13;-0.272710920898339;0.276;0.093;1.75753113295653e-08
"BdiBd21-3.2G0592100";"10";"Unknown 2";4.51616497272736e-13;0.314211745511815;0.928;0.497;1.76437533154513e-08
"BdiBd21-3.2G0797000";"10";"Unknown 2";4.52272247497184e-13;-0.97443153263688;0.354;0.128;1.766937216522e-08
"BdiBd21-3.3G0590100";"10";"Unknown 2";4.55789309788244e-13;-0.442688617608456;0.663;0.282;1.78067767548071e-08
"BdiBd21-3.1G1023500";"10";"Unknown 2";4.57426456189745e-13;-0.516208838828628;0.42;0.164;1.7870736790421e-08
"BdiBd21-3.3G0060300";"10";"Unknown 2";4.61019129488843e-13;-0.489547270698422;0.331;0.118;1.80110953508701e-08
"BdiBd21-3.1G0574400";"10";"Unknown 2";4.6441323639667e-13;-0.114935158413271;0.575;0.262;1.81436963195451e-08
"BdiBd21-3.3G0690300";"10";"Unknown 2";4.68088355213713e-13;-0.568485337496786;0.348;0.141;1.82872758614893e-08
"BdiBd21-3.1G0324900";"10";"Unknown 2";4.82128001689542e-13;0.648149077832719;0.978;0.723;1.8835776770007e-08
"BdiBd21-3.3G0493400";"10";"Unknown 2";4.98182761244289e-13;-0.188734421455675;0.315;0.113;1.94630041162919e-08
"BdiBd21-3.3G0229600";"10";"Unknown 2";5.02085165862166e-13;0.286142635929944;0.873;0.444;1.96154632599031e-08
"BdiBd21-3.2G0037000";"10";"Unknown 2";5.05608959782344e-13;-0.322051354579395;0.652;0.283;1.97531308407766e-08
"BdiBd21-3.3G0554600";"10";"Unknown 2";5.05965093906124e-13;-0.542898296981284;0.271;0.09;1.97670442887245e-08
"BdiBd21-3.1G1026300";"10";"Unknown 2";5.12432270728629e-13;-0.337774653616327;0.646;0.272;2.00197039528261e-08
"BdiBd21-3.3G0626500";"10";"Unknown 2";5.1262051705078e-13;-0.408358353855024;0.403;0.156;2.00270583601399e-08
"BdiBd21-3.1G0018600";"10";"Unknown 2";5.29127514454988e-13;-0.148609130568141;0.669;0.298;2.06719537347275e-08
"BdiBd21-3.3G0101600";"10";"Unknown 2";5.32545518954747e-13;-0.386030910097703;0.674;0.291;2.08054883345241e-08
"BdiBd21-3.1G0263300";"10";"Unknown 2";5.48116421240579e-13;-0.338066523330722;0.768;0.348;2.14138123450269e-08
"BdiBd21-3.1G0474100";"10";"Unknown 2";5.48366897895687e-13;-0.625474617942091;0.376;0.14;2.14235979669887e-08
"BdiBd21-3.5G0305500";"10";"Unknown 2";5.54358108650367e-13;-0.690291086572701;0.348;0.126;2.16576625887525e-08
"BdiBd21-3.3G0479900";"10";"Unknown 2";5.63434824151531e-13;-0.226757448052005;0.773;0.351;2.2012271709952e-08
"BdiBd21-3.5G0098900";"10";"Unknown 2";5.70261877256088e-13;-0.761351018861009;0.276;0.092;2.22789910206408e-08
"BdiBd21-3.4G0536500";"10";"Unknown 2";5.72119728492843e-13;0.306015747818899;0.906;0.463;2.23515735527584e-08
"BdiBd21-3.4G0437500";"10";"Unknown 2";5.77574701671545e-13;-0.825528017339305;0.348;0.127;2.25646884449039e-08
"BdiBd21-3.1G0855500";"10";"Unknown 2";5.91443773891605e-13;-0.682174730994446;0.381;0.145;2.31065253583972e-08
"BdiBd21-3.1G0984100";"10";"Unknown 2";5.98850754367446e-13;-0.431824282541662;0.271;0.091;2.33959012716274e-08
"BdiBd21-3.2G0591600";"10";"Unknown 2";6.17073387816526e-13;-0.53370200916411;0.497;0.202;2.4107823115216e-08
"BdiBd21-3.3G0109200";"10";"Unknown 2";6.26745460237538e-13;-0.466618783491421;0.475;0.192;2.44856916405601e-08
"BdiBd21-3.1G0323200";"10";"Unknown 2";6.35037389000437e-13;-0.303976362315496;0.713;0.315;2.48096407134691e-08
"BdiBd21-3.4G0090700";"10";"Unknown 2";6.35150748392537e-13;-0.37705312501545;0.624;0.261;2.48140694381996e-08
"BdiBd21-3.2G0361800";"10";"Unknown 2";6.35903892765145e-13;-0.578154319283886;0.453;0.178;2.48434932825487e-08
"BdiBd21-3.3G0031400";"10";"Unknown 2";6.36759576711095e-13;0.186190683939668;0.967;0.531;2.4876923142949e-08
"BdiBd21-3.3G0616400";"10";"Unknown 2";6.39542572967665e-13;-0.781348886697038;0.63;0.262;2.49856492407007e-08
"BdiBd21-3.1G0081800";"10";"Unknown 2";6.44969982486449e-13;-0.358670203187216;0.337;0.123;2.51976872757806e-08
"BdiBd21-3.2G0123700";"10";"Unknown 2";6.5222412196083e-13;-0.87970669840614;0.376;0.14;2.54810919967657e-08
"BdiBd21-3.1G0233500";"10";"Unknown 2";6.52471054754564e-13;-0.259851468051127;0.514;0.217;2.54907391671513e-08
"BdiBd21-3.2G0420500";"10";"Unknown 2";6.5305688159291e-13;-0.35917490419045;0.657;0.288;2.55136262500718e-08
"BdiBd21-3.1G0726800";"10";"Unknown 2";6.5912504629942e-13;-0.457528344799628;0.337;0.123;2.57506973088258e-08
"BdiBd21-3.2G0762600";"10";"Unknown 2";6.67548036803271e-13;-0.660311193887279;0.414;0.161;2.60797667018302e-08
"BdiBd21-3.2G0800600";"10";"Unknown 2";6.7165620440003e-13;-0.748911303352669;0.287;0.101;2.62402645935004e-08
"BdiBd21-3.1G0991600";"10";"Unknown 2";6.75495745764136e-13;-0.935091000373102;0.492;0.199;2.63902677955133e-08
"BdiBd21-3.4G0267100";"10";"Unknown 2";6.80516900082083e-13;-0.484753819565013;0.541;0.225;2.65864342524068e-08
"BdiBd21-3.2G0669200";"10";"Unknown 2";7.0303979044359e-13;-0.305474135954806;0.442;0.188;2.74663585330502e-08
"BdiBd21-3.1G0710400";"10";"Unknown 2";7.08373017921020e-13;-0.908398044164893;0.42;0.162;2.76747170641384e-08
"BdiBd21-3.4G0002000";"10";"Unknown 2";7.11448196805117e-13;-0.664424060638259;0.26;0.085;2.77948581527823e-08
