Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
581952,36.4608,36.4608,-15.9605,-7.24421,0.249995
581824,19.5223,19.5223,-13.7145,-170.549,0.249995
582080,67.2861,67.2861,-5.77502,94.9419,0.249995
581920,17.1362,17.1362,5.34747,-102.138,0.249995
580704,56.3078,56.3078,4.75672,-76.8979,0.249995
581984,36.6195,36.6195,-16.302,-32.6813,0.249995
581856,166.34,166.34,-4.33085,-140.83,0.249995
582112,58.8327,58.8327,-12.3038,133.4,0.249995
581600,96.463,96.463,-6.76071,-182.065,0.249995
581584,90.2907,90.2907,1.01659,114.385,0.249995
581936,55.1922,55.1922,6.20686,-58.6056,0.249995
581808,92.8521,92.8521,7.75549,106.169,0.249995
581232,99.4318,99.4318,14.6269,38.5179,0.249995
581128,64.2573,64.2573,-2.55078,-114.257,0.249995
582024,36.2414,36.2414,-14.8692,30.1558,0.249995
581832,33.4558,33.4558,-19.9581,-158.761,0.249995
581992,80.1422,80.1422,-0.736208,-7.0535,0.249995
581864,29.0914,29.0914,-18.7375,-113.14,0.249995
581352,96.1441,96.1441,-3.06976,-124.465,0.249995
581608,90.3309,90.3309,-5.40769,-159.655,0.249995
581976,53.4732,53.4732,-16.2736,-26.2447,0.249995
581464,59.9576,59.9576,6.57652,-28.7332,0.249995
581848,21.9298,21.9298,3.60332,-147.564,0.249995
582104,66.2499,66.2499,-6.24711,151.905,0.249995
580664,80.4521,80.4521,7.53569,93.261,0.249995
581944,19.8907,19.8907,5.74004,-53.2801,0.249995
581816,17.8406,17.8406,-14.1385,-193.192,0.249995
580792,64.7598,64.7598,13.3315,158.728,0.249995
581048,77.3927,77.3927,6.82446,-69.4184,0.249995
582008,31.5113,31.5113,-16.5924,-20.3662,0.249995
581880,20.7231,20.7231,4.65611,-122.952,0.249995
581892,32.3758,32.3758,-18.3813,-107.371,0.249995
582020,60.2469,60.2469,-8.26974,5.48216,0.249995
581924,19.3598,19.3598,12.6873,-114.731,0.249995
582036,73.4819,73.4819,-6.55316,68.3923,0.249995
581972,20.3944,20.3944,-16.2411,-45.4919,0.249995
582100,48.8682,48.8682,-6.38256,185.901,0.249995
582068,34.2393,34.2393,-12.8576,55.7915,0.249995
581876,35.4805,35.4805,12.0556,-133.05,0.249995
582132,59.2076,59.2076,5.69893,188.708,0.249995
580876,51.4524,51.4524,14.7876,3.71402,0.249995
581964,40.5074,40.5074,-16.9322,-60.3577,0.249995
581836,18.8413,18.8413,-19.7222,-153.913,0.249995
581932,113.352,113.352,-1.7359,-64.6274,0.249995
581804,39.307,39.307,7.5086,57.7226,0.249995
581996,54.842,54.842,15.0099,-13.2167,0.249995
581916,35.3714,35.3714,-16.6412,-79.2905,0.249995
580892,68.7124,68.7124,-0.0316146,42.627,0.249995
582108,63.2532,63.2532,-12.2908,155.912,0.249995
581948,75.9077,75.9077,-8.73661,-2.76485,0.249995
581820,26.3929,26.3929,-20.8344,-183.972,0.249995
581052,95.0642,95.0642,14.4221,116.059,0.249995
582012,62.7662,62.7662,7.28269,6.40756,0.249995
580988,60.1064,60.1064,13.0478,168.188,0.249995
581884,43.0423,43.0423,-18.732,-130.312,0.249995
580860,91.8875,91.8875,-0.556895,32.4692,0.249995
581628,89.789,89.789,5.251,-87.453,0.249995
582018,69.452,69.452,-8.27266,14.333,0.249995
581698,83.4586,83.4586,-0.148284,181.901,0.249995
581954,33.7178,33.7178,-15.5125,2.48862,0.249995
581826,20.1964,20.1964,1.69285,-181.22,0.249995
581922,16.1516,16.1516,4.74876,-112.239,0.249995
582050,38.4056,38.4056,-13.7121,36.3229,0.249995
581986,62.4192,62.4192,13.7759,-40.0702,0.249995
581858,47.4289,47.4289,-11.6429,-125.467,0.249995
582114,56.3641,56.3641,-6.01174,161.538,0.249995
580754,56.0689,56.0689,13.9346,126.993,0.249995
581266,41.7683,41.7683,14.6171,48.0517,0.249995
582034,78.6467,78.6467,-7.05582,49.8232,0.249995
581682,78.8758,78.8758,14.4273,78.7772,0.249995
581170,132.811,132.811,9.97556,-181.707,0.249995
581938,67.6408,67.6408,-1.32009,-40.9194,0.249995
582066,20.156,20.156,-13.2267,50.9528,0.249995
580978,56.6179,56.6179,14.2591,-31.6735,0.249995
581874,45.5688,45.5688,-10.1299,-82.2996,0.249995
582130,68.052,68.052,-12.542,179.572,0.249995
581962,30.3863,30.3863,-17.3183,-65.6563,0.249995
581834,12.2098,12.2098,-12.2621,-147.361,0.249995
