Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
537600,101.968,101.968,2.27028,18.6191,0.249995
537088,28.9379,28.9379,8.83735,146.298,0.249995
537856,12.7672,12.7672,16.5935,-40.4713,0.249995
537728,42.4198,42.4198,-4.71131,-37.9181,0.249995
537536,54.7397,54.7397,2.19468,-16.8527,0.249995
537888,37.571,37.571,-11.3125,45.7292,0.249995
536928,54.3153,54.3153,-4.80028,-82.2419,0.249995
537440,27.7552,27.7552,12.7927,-190.264,0.249995
537824,23.2058,23.2058,-11.0632,-125.206,0.249995
536848,21.7431,21.7431,-11.5138,-56.6599,0.249995
537360,32.2252,32.2252,14.6019,154.977,0.249995
537744,18.7872,18.7872,-10.6119,-174.942,0.249995
537232,34.2125,34.2125,-4.782,6.86234,0.249995
537680,25.028,25.028,-11.5629,-96.9632,0.249995
537808,66.0846,66.0846,-11.1838,-180.914,0.249995
537904,36.7568,36.7568,-4.16302,165.946,0.249995
537840,16.1248,16.1248,9.7266,-76.4863,0.249995
537584,32.5533,32.5533,16.0085,-28.7904,0.249995
537864,14.8949,14.8949,-11.8637,-25.1762,0.249995
537160,56.5757,56.5757,-10.6923,160.427,0.249995
537640,21.7989,21.7989,17.192,-127.693,0.249995
537896,22.7179,22.7179,-11.3617,77.3464,0.249995
537384,18.6239,18.6239,11.0842,-162.792,0.249995
537768,73.5056,73.5056,16.8106,-79.4203,0.249995
537256,51.0259,51.0259,-4.82841,-54.4595,0.249995
536808,95.4304,95.4304,17.601,-148.723,0.249995
537832,76.1684,76.1684,10.0176,-113.438,0.249995
537112,22.1224,22.1224,-4.53547,-87.3709,0.249995
537880,60.6242,60.6242,9.19969,11.128,0.249995
537368,90.5357,90.5357,-4.63051,-95.5077,0.249995
537752,59.7584,59.7584,2.83301,107.163,0.249995
536984,67.802,67.802,-4.19909,118.93,0.249995
537432,30.6674,30.6674,-11.9121,-82.495,0.249995
537816,62.4911,62.4911,-10.9899,-159.481,0.249995
537912,35.0961,35.0961,14.3417,181.042,0.249995
537720,98.4599,98.4599,2.58132,-6.66126,0.249995
537848,17.8211,17.8211,-11.8024,-64.225,0.249995
537860,15.3972,15.3972,2.3533,-31.0264,0.249995
537348,20.1401,20.1401,-4.53363,-59.1238,0.249995
537220,46.4475,46.4475,9.81806,-43.8806,0.249995
537668,81.7019,81.7019,-11.2153,115.225,0.249995
537892,16.4072,16.4072,-10.7703,52.7979,0.249995
537380,62.7222,62.7222,-4.06607,74.5773,0.249995
537188,87.9492,87.9492,4.03581,-161.784,0.249995
536804,43.5822,43.5822,-4.36927,12.5815,0.249995
537620,55.3879,55.3879,3.00365,-41.6177,0.249995
536852,19.825,19.825,11.38,-186.851,0.249995
537876,36.2125,36.2125,-11.4273,10.2076,0.249995
537172,26.7338,26.7338,-3.91546,-160.584,0.249995
537428,40.4134,40.4134,-11.2072,40.04,0.249995
537812,41.8964,41.8964,3.95188,-169.952,0.249995
537908,69.4741,69.4741,-3.52329,182.403,0.249995
537396,75.9945,75.9945,-3.95717,129.033,0.249995
536756,23.2031,23.2031,-4.47667,-103.411,0.249995
537524,37.8488,37.8488,-11.5825,-29.1061,0.249995
536948,67.5392,67.5392,14.4646,164.496,0.249995
537844,15.5193,15.5193,9.67915,-58.2302,0.249995
537100,52.7888,52.7888,-11.0577,-102.992,0.249995
537548,65.4941,65.4941,2.87822,-50.2677,0.249995
537836,14.5362,14.5362,9.81034,-91.8009,0.249995
537324,21.7768,21.7768,-11.0908,90.3221,0.249995
537068,22.632,22.632,10.2346,-121.467,0.249995
